"Diagnostic change (from -> to)","Sex","Sample size","Age (in days)","Age range (in years)","Percentage female"
"AD->AD","Female",188,26751.3,1,44.76
"AD->AD","Male",232,27319.4,1,55.24
"CN->AD","Female",1,24836.7,1.1,25
"CN->AD","Male",3,26541.1,1.1,75
"CN->MCI","Female",17,27964.8,1.1,54.84
"CN->MCI","Male",14,25553.4,1.1,45.16
"MCI->AD","Female",6,27028.1,1.1,46.15
"MCI->AD","Male",7,27915.2,1,53.85
"MCI->MCI","Female",22,26668.8,1,36.07
"MCI->MCI","Male",39,26952.4,1,63.93
