Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,33081,73,0.5,0.43,0.05059,0.457,-0.002,0.227,0.065,0.1489,Female,0.07
CN,AD,33081,528,0.5,0.342,0.0002,0.485,0.313,0.399,0.115,0.002,Female,0.158
CN,ADHD,33081,222,0.5,0.543,0.08879,0.017,-0.247,-0.115,-0.033,0.2232,Female,-0.043
CN,Anorexia/Bulima,33081,68,0.5,0.571,0.34417,0.121,-0.355,-0.117,-0.034,0.5972,Female,-0.071
CN,Anxiety/Phobia,33081,975,0.5,0.493,0.59194,0.081,-0.046,0.018,0.005,0.9299,Female,0.008
CN,ASD,33081,365,0.5,0.503,0.57814,0.133,-0.073,0.03,0.009,0.9144,Female,-0.003
CN,Attention & Learning difficulty,33081,99,0.5,0.197,0.0002,0.972,0.577,0.774,0.222,0.002,Female,0.303
CN,BD,33081,80,0.5,0.477,0.94991,0.227,-0.211,0.008,0.002,1,Female,0.023
CN,BIPOLAR/PSYCH-RELATIVE,33081,47,0.5,0.52,0.9759,0.283,-0.289,-0.003,-0.001,1,Female,-0.02
CN,Chronic Pain,33081,0,0.5,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,DEMENTIA - LBD,33081,21,0.5,0.328,0.0146,0.968,0.112,0.54,0.155,0.0543,Female,0.173
CN,EMCI,33081,139,0.5,0.567,0.39936,0.094,-0.24,-0.073,-0.021,0.6777,Female,-0.066
CN,LMCI,33081,217,0.5,0.468,0.07279,0.259,-0.008,0.126,0.036,0.187,Female,0.032
CN,MCI,33081,245,0.5,0.4,0.0002,0.391,0.14,0.265,0.076,0.002,Female,0.101
CN,MCI-Risk,33081,0,0.5,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,33081,3158,0.5,0.49,0.13679,0.064,-0.009,0.028,0.008,0.3073,Female,0.011
CN,ND,33081,100,0.5,0.253,0.0002,0.721,0.328,0.525,0.151,0.002,Female,0.247
CN,OCD,33081,63,0.5,0.492,0.71053,0.295,-0.2,0.047,0.014,1,Female,0.008
CN,Other,33081,3,0.5,0.741,0.17118,0.321,-1.942,-0.81,-0.233,0.357,Female,-0.241
CN,OTHER,33081,54,0.5,0.335,0.0002,0.81,0.276,0.543,0.156,0.002,Female,0.165
CN,Other Psychiatric,33081,111,0.5,0.429,0.06999,0.359,-0.014,0.173,0.05,0.1839,Female,0.071
CN,PD,33081,0,0.5,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,SAD,33081,150,0.5,0.463,0.51015,0.215,-0.106,0.055,0.016,0.8317,Female,0.037
CN,Schizoaffective Disorder,33081,40,0.5,0.301,0.0006,0.884,0.264,0.574,0.165,0.0041,Female,0.199
CN,Schizoaffective Disorder - Relative,33081,50,0.5,0.389,0.0318,0.588,0.033,0.31,0.089,0.1056,Female,0.111
CN,SCZ,33081,75,0.5,0.337,0.0002,0.67,0.216,0.443,0.127,0.002,Female,0.164
CN,SCZ-Relative,33081,71,0.5,0.268,0.0002,0.709,0.244,0.477,0.137,0.002,Female,0.232
CN,SMC,33081,59,0.5,0.633,0.0206,-0.05,-0.561,-0.305,-0.088,0.0704,Female,-0.133
CN,SPECIFIC PHOBIA,33081,159,0.5,0.471,0.9893,0.154,-0.157,-0.001,0,1,Female,0.029
CN,Subacute Pain,33081,0,0.5,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,AD,73,528,0.43,0.342,0.18138,0.413,-0.077,0.168,0.049,0.3732,Female,0.088
ABNORMAL VENTRICAL,ADHD,73,222,0.43,0.543,0.0142,-0.069,-0.603,-0.336,-0.098,0.0537,Female,-0.113
ABNORMAL VENTRICAL,Anorexia/Bulima,73,68,0.43,0.571,0.045,-0.011,-0.682,-0.346,-0.099,0.135,Female,-0.141
ABNORMAL VENTRICAL,Anxiety/Phobia,73,975,0.43,0.493,0.08619,0.025,-0.451,-0.213,-0.06,0.219,Female,-0.062
ABNORMAL VENTRICAL,ASD,73,365,0.43,0.503,0.16658,0.072,-0.432,-0.18,-0.057,0.3489,Female,-0.073
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.43,0.197,0.0004,0.882,0.261,0.571,0.157,0.003,Female,0.233
ABNORMAL VENTRICAL,BD,73,80,0.43,0.477,0.17278,0.101,-0.54,-0.219,-0.063,0.3587,Female,-0.047
ABNORMAL VENTRICAL,BIPOLAR/PSYCH-RELATIVE,73,47,0.43,0.52,0.21698,0.141,-0.602,-0.23,-0.066,0.4257,Female,-0.09
ABNORMAL VENTRICAL,Chronic Pain,73,0,0.43,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,DEMENTIA - LBD,73,21,0.43,0.328,0.23058,0.792,-0.195,0.299,0.09,0.4449,Female,0.103
ABNORMAL VENTRICAL,EMCI,73,139,0.43,0.567,0.0358,-0.015,-0.588,-0.302,-0.086,0.114,Female,-0.136
ABNORMAL VENTRICAL,LMCI,73,217,0.43,0.468,0.43116,0.161,-0.372,-0.106,-0.029,0.7238,Female,-0.038
ABNORMAL VENTRICAL,MCI,73,245,0.43,0.4,0.78912,0.297,-0.228,0.035,0.011,1,Female,0.031
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.43,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3158,0.43,0.49,0.09039,0.032,-0.432,-0.2,-0.057,0.226,Female,-0.059
ABNORMAL VENTRICAL,ND,73,100,0.43,0.253,0.05919,0.592,-0.018,0.287,0.085,0.1629,Female,0.177
ABNORMAL VENTRICAL,OCD,73,63,0.43,0.492,0.30317,0.161,-0.521,-0.18,-0.052,0.5422,Female,-0.062
ABNORMAL VENTRICAL,Other,73,3,0.43,0.741,0.09359,0.162,-2.209,-1.023,-0.298,0.2308,Female,-0.311
ABNORMAL VENTRICAL,OTHER,73,54,0.43,0.335,0.09779,0.655,-0.06,0.298,0.091,0.2368,Female,0.095
ABNORMAL VENTRICAL,Other Psychiatric,73,111,0.43,0.429,0.72553,0.244,-0.351,-0.054,-0.016,1,Female,0.002
ABNORMAL VENTRICAL,PD,73,0,0.43,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,SAD,73,150,0.43,0.463,0.20678,0.102,-0.461,-0.18,-0.05,0.4131,Female,-0.033
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,40,0.43,0.301,0.08079,0.744,-0.041,0.351,0.099,0.2064,Female,0.129
ABNORMAL VENTRICAL,Schizoaffective Disorder - Relative,73,50,0.43,0.389,0.63854,0.445,-0.282,0.082,0.024,0.9897,Female,0.041
ABNORMAL VENTRICAL,SCZ,73,75,0.43,0.337,0.18278,0.54,-0.112,0.214,0.062,0.3744,Female,0.094
