Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
PD,SAD,136,155,0.541,0.499,0.0252,0.493,0.029,0.261,0.073,0.1092,Male,0.042
PD,Schizoaffective Disorder,136,56,0.541,0.392,0.0002,0.889,0.252,0.57,0.144,0.0022,Male,0.149
PD,SCZ,136,718,0.541,0.444,0.0002,0.566,0.197,0.381,0.107,0.0022,Male,0.097
PD,SCZ-Relative,136,66,0.541,0.507,0.06639,0.571,-0.023,0.274,0.074,0.2119,Male,0.034
PD,SMC,136,44,0.541,0.488,0.19818,0.57,-0.116,0.227,0.058,0.4379,Male,0.053
PD,SPECIFIC PHOBIA,136,55,0.541,0.484,0.19438,0.531,-0.101,0.215,0.056,0.4374,Male,0.057
SAD,Schizoaffective Disorder,155,56,0.499,0.392,0.12099,0.552,-0.064,0.244,0.072,0.3292,Male,0.107
SAD,SCZ,155,718,0.499,0.444,0.18558,0.293,-0.055,0.119,0.034,0.4314,Male,0.055
SAD,SCZ-Relative,155,66,0.499,0.507,0.9853,0.292,-0.287,0.003,0.001,1,Male,-0.008
SAD,SMC,155,44,0.499,0.488,0.77852,0.289,-0.385,-0.048,-0.014,0.9656,Male,0.011
SAD,SPECIFIC PHOBIA,155,55,0.499,0.484,0.71473,0.254,-0.364,-0.055,-0.017,0.9396,Male,0.016
Schizoaffective Disorder,SCZ,56,718,0.392,0.444,0.35496,0.142,-0.403,-0.13,-0.037,0.6755,Male,-0.052
Schizoaffective Disorder,SCZ-Relative,56,66,0.392,0.507,0.18018,0.115,-0.607,-0.246,-0.071,0.4244,Male,-0.115
Schizoaffective Disorder,SMC,56,44,0.392,0.488,0.12239,0.087,-0.718,-0.315,-0.086,0.3304,Male,-0.096
Schizoaffective Disorder,SPECIFIC PHOBIA,56,55,0.392,0.484,0.09999,0.062,-0.695,-0.316,-0.088,0.2949,Male,-0.092
SCZ,SCZ-Relative,718,66,0.444,0.507,0.35796,0.136,-0.369,-0.116,-0.034,0.6755,Male,-0.064
SCZ,SMC,718,44,0.444,0.488,0.27877,0.135,-0.475,-0.17,-0.049,0.556,Male,-0.044
SCZ,SPECIFIC PHOBIA,718,55,0.444,0.484,0.21898,0.098,-0.452,-0.177,-0.051,0.4602,Male,-0.04
SCZ-Relative,SMC,66,44,0.507,0.488,0.77752,0.335,-0.437,-0.051,-0.015,0.9656,Male,0.019
SCZ-Relative,SPECIFIC PHOBIA,66,55,0.507,0.484,0.74493,0.304,-0.419,-0.058,-0.017,0.9576,Male,0.024
SMC,SPECIFIC PHOBIA,44,55,0.488,0.484,0.9755,0.394,-0.409,-0.007,-0.002,1,Male,0.004
