Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
OTHER,Other Psychiatric,43,142,0.295,0.301,0.69353,0.274,-0.413,-0.07,-0.02,0.8283,Male,-0.006
OTHER,PD,43,136,0.295,0.558,0.0012,-0.243,-0.944,-0.594,-0.175,0.0049,Male,-0.263
OTHER,SAD,43,155,0.295,0.49,0.0388,-0.014,-0.698,-0.356,-0.106,0.0911,Male,-0.194
OTHER,Schizoaffective Disorder,43,56,0.295,0.35,0.62994,0.303,-0.502,-0.099,-0.031,0.777,Male,-0.055
OTHER,Schizoaffective Disorder - Relative,43,25,0.295,0.383,0.56614,0.352,-0.654,-0.151,-0.047,0.7154,Male,-0.088
OTHER,SCZ,43,718,0.295,0.338,0.9699,0.309,-0.308,0.001,0,1,Male,-0.043
OTHER,SCZ-Relative,43,66,0.295,0.443,0.07679,0.041,-0.741,-0.35,-0.112,0.1601,Male,-0.148
OTHER,SMC,43,44,0.295,0.584,0.0074,-0.184,-1.057,-0.62,-0.183,0.0221,Male,-0.289
OTHER,SPECIFIC PHOBIA,43,55,0.295,0.454,0.0424,-0.006,-0.823,-0.415,-0.128,0.0981,Male,-0.159
OTHER,Subacute Pain,43,30,0.295,0.434,0.38576,0.267,-0.684,-0.208,-0.065,0.5436,Male,-0.139
Other Psychiatric,PD,142,136,0.301,0.558,0.0002,-0.298,-0.779,-0.539,-0.155,0.001,Male,-0.257
Other Psychiatric,SAD,142,155,0.301,0.49,0.0138,-0.065,-0.525,-0.295,-0.085,0.0365,Male,-0.188
Other Psychiatric,Schizoaffective Disorder,142,56,0.301,0.35,0.81792,0.276,-0.347,-0.035,-0.01,0.9231,Male,-0.048
Other Psychiatric,Schizoaffective Disorder - Relative,142,25,0.301,0.383,0.66193,0.335,-0.522,-0.093,-0.027,0.811,Male,-0.082
Other Psychiatric,SCZ,142,718,0.301,0.338,0.41996,0.252,-0.108,0.072,0.021,0.576,Male,-0.037
Other Psychiatric,SCZ-Relative,142,66,0.301,0.443,0.0412,-0.012,-0.602,-0.307,-0.092,0.0963,Male,-0.142
Other Psychiatric,SMC,142,44,0.301,0.584,0.0014,-0.228,-0.919,-0.574,-0.163,0.0055,Male,-0.283
Other Psychiatric,SPECIFIC PHOBIA,142,55,0.301,0.454,0.0208,-0.055,-0.686,-0.37,-0.108,0.0509,Male,-0.152
Other Psychiatric,Subacute Pain,142,30,0.301,0.434,0.42436,0.243,-0.551,-0.154,-0.045,0.5777,Male,-0.132
PD,SAD,136,155,0.558,0.49,0.0422,0.472,0.008,0.24,0.07,0.0981,Male,0.069
PD,Schizoaffective Disorder,136,56,0.558,0.35,0.0028,0.81,0.176,0.493,0.144,0.0094,Male,0.209
PD,Schizoaffective Disorder - Relative,136,25,0.558,0.383,0.0464,0.871,0.006,0.439,0.128,0.1068,Male,0.175
