Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,35298,73,0.494,0.388,0.023,0.495,0.036,0.265,0.076,0.0597,Female,0.105
CN,AD,35298,529,0.494,0.826,0.0002,-0.773,-0.945,-0.859,-0.245,0.0011,Female,-0.332
CN,ADHD,35298,329,0.494,0.554,0.0016,-0.072,-0.289,-0.18,-0.052,0.0064,Female,-0.06
CN,Anorexia/Bulima,35298,105,0.494,0.618,0.017,-0.042,-0.425,-0.233,-0.067,0.0479,Female,-0.124
CN,Anxiety/Phobia,35298,1039,0.494,0.453,0.0028,0.154,0.03,0.092,0.026,0.0104,Female,0.041
CN,ASD,35298,376,0.494,0.58,0.0002,-0.115,-0.318,-0.216,-0.062,0.0011,Female,-0.087
CN,Attention & Learning difficulty,35298,99,0.494,0.355,0.0018,0.513,0.119,0.316,0.09,0.007,Female,0.139
CN,BD,35298,111,0.494,0.554,0.12799,0.04,-0.333,-0.146,-0.042,0.248,Female,-0.06
CN,BIPOLAR/PSYCH-RELATIVE,35298,47,0.494,0.431,0.67073,0.345,-0.227,0.059,0.017,0.8189,Female,0.062
CN,Chronic Pain,35298,63,0.494,0.46,0.12939,0.437,-0.058,0.189,0.054,0.2486,Female,0.034
CN,DEMENTIA - LBD,35298,21,0.494,0.765,0.001,-0.325,-1.181,-0.753,-0.215,0.0045,Female,-0.272
CN,EMCI,35298,139,0.494,0.511,0.77852,0.14,-0.193,-0.027,-0.008,0.9028,Female,-0.017
CN,LMCI,35298,216,0.494,0.667,0.0002,-0.239,-0.506,-0.373,-0.107,0.0011,Female,-0.173
CN,MCI,35298,253,0.494,0.651,0.0002,-0.202,-0.45,-0.326,-0.093,0.0011,Female,-0.157
CN,MCI-Risk,35298,0,0.494,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,35298,3392,0.494,0.506,0.41576,0.021,-0.05,-0.015,-0.004,0.5949,Female,-0.012
CN,ND,35298,100,0.494,0.766,0.0002,-0.391,-0.784,-0.588,-0.168,0.0011,Female,-0.272
CN,OCD,35298,74,0.494,0.412,0.44496,0.317,-0.139,0.089,0.026,0.627,Female,0.082
CN,Other,35298,117,0.494,0.534,0.09259,0.024,-0.339,-0.157,-0.045,0.1897,Female,-0.04
CN,OTHER,35298,56,0.494,0.769,0.0002,-0.517,-1.042,-0.78,-0.223,0.0011,Female,-0.276
CN,Other Psychiatric,35298,111,0.494,0.495,0.28157,0.085,-0.288,-0.101,-0.029,0.4484,Female,-0.002
CN,PD,35298,67,0.494,0.535,0.86531,0.217,-0.262,-0.022,-0.006,0.9765,Female,-0.042
CN,SAD,35298,150,0.494,0.501,0.71793,0.19,-0.13,0.03,0.009,0.856,Female,-0.008
CN,Schizoaffective Disorder,35298,53,0.494,0.558,0.20998,0.094,-0.445,-0.176,-0.05,0.3564,Female,-0.065
CN,Schizoaffective Disorder - Relative,35298,48,0.494,0.512,0.69113,0.228,-0.339,-0.056,-0.016,0.8304,Female,-0.018
