Group 1,Group 2,Sample size G1,Sample size G2,Median centile G2,Median centile G1,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,MCI,639,188,0.492,0.398,0.0012,-0.101,-0.428,-0.265,-0.074,0.0023,Male,-0.094
ADHD,MDD,639,1635,0.534,0.398,0.0002,-0.282,-0.466,-0.374,-0.107,0.0007,Male,-0.136
ADHD,SCZ,639,212,0.351,0.398,0.32757,0.234,-0.078,0.078,0.021,0.3804,Male,0.047
Anxiety/Phobia,ASD,565,1607,0.453,0.519,0.0004,0.303,0.11,0.207,0.062,0.001,Male,0.066
Anxiety/Phobia,LMCI,565,341,0.532,0.519,0.70993,0.16,-0.109,0.025,0.007,0.7745,Male,-0.014
Anxiety/Phobia,MCI,565,188,0.492,0.519,0.17478,0.281,-0.05,0.116,0.034,0.2268,Male,0.027
Anxiety/Phobia,MDD,565,1635,0.534,0.519,0.87131,0.103,-0.088,0.008,0.002,0.8713,Male,-0.015
Anxiety/Phobia,SCZ,565,212,0.351,0.519,0.0002,0.606,0.287,0.447,0.13,0.0007,Male,0.168
ASD,LMCI,1607,341,0.532,0.453,0.0008,-0.065,-0.299,-0.182,-0.054,0.0019,Male,-0.079
ASD,MCI,1607,188,0.492,0.453,0.23358,0.061,-0.242,-0.091,-0.027,0.29,Male,-0.039
ASD,MDD,1607,1635,0.534,0.453,0.0002,-0.133,-0.271,-0.202,-0.06,0.0007,Male,-0.08
ASD,SCZ,1607,212,0.351,0.453,0.0018,0.371,0.084,0.228,0.068,0.0032,Male,0.103
LMCI,MCI,341,188,0.492,0.532,0.31897,0.269,-0.088,0.091,0.027,0.3804,Male,0.04
LMCI,MDD,341,1635,0.534,0.532,0.75892,0.099,-0.135,-0.018,-0.005,0.8036,Male,-0.001
LMCI,SCZ,341,212,0.351,0.532,0.0002,0.6,0.253,0.427,0.123,0.0007,Male,0.182
MCI,MDD,188,1635,0.534,0.492,0.15178,0.041,-0.262,-0.111,-0.032,0.2102,Male,-0.041
MCI,SCZ,188,212,0.351,0.492,0.0026,0.521,0.125,0.323,0.096,0.0045,Male,0.142
MDD,SCZ,1635,212,0.351,0.534,0.0002,0.586,0.299,0.442,0.128,0.0007,Male,0.183
