Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
PD,SCZ-Relative,67,138,0.601,0.354,0.0004,0.88,0.282,0.581,0.165,0.0021,Female,0.247
PD,SMC,67,59,0.601,0.585,0.77272,0.406,-0.301,0.052,0.013,0.9357,Female,0.016
PD,SPECIFIC PHOBIA,67,159,0.601,0.45,0.0186,0.632,0.054,0.343,0.102,0.0527,Female,0.151
PD,Subacute Pain,67,28,0.601,0.396,0.0144,1.021,0.112,0.566,0.155,0.0432,Female,0.205
SAD,Schizoaffective Disorder,150,53,0.444,0.316,0.0026,0.828,0.19,0.509,0.137,0.0102,Female,0.129
SAD,Schizoaffective Disorder - Relative,150,48,0.444,0.407,0.49695,0.439,-0.216,0.112,0.031,0.6969,Female,0.038
SAD,SCZ,150,315,0.444,0.297,0.0004,0.574,0.181,0.378,0.108,0.0021,Female,0.147
SAD,SCZ-Relative,150,138,0.444,0.354,0.07119,0.444,-0.022,0.211,0.059,0.1554,Female,0.09
SAD,SMC,150,59,0.444,0.585,0.0264,-0.049,-0.658,-0.354,-0.092,0.0722,Female,-0.141
SAD,SPECIFIC PHOBIA,150,159,0.444,0.45,0.93291,0.214,-0.234,-0.01,-0.003,1,Female,-0.005
SAD,Subacute Pain,150,28,0.444,0.396,0.37776,0.587,-0.227,0.18,0.05,0.5612,Female,0.048
Schizoaffective Disorder,Schizoaffective Disorder - Relative,53,48,0.316,0.407,0.06579,0.028,-0.769,-0.371,-0.106,0.1471,Female,-0.091
Schizoaffective Disorder,SCZ,53,315,0.316,0.297,0.50215,0.193,-0.391,-0.099,-0.029,0.7003,Female,0.018
Schizoaffective Disorder,SCZ-Relative,53,138,0.316,0.354,0.10199,0.049,-0.59,-0.271,-0.078,0.2035,Female,-0.038
Schizoaffective Disorder,SMC,53,59,0.316,0.585,0.0002,-0.522,-1.311,-0.916,-0.229,0.0012,Female,-0.269
Schizoaffective Disorder,SPECIFIC PHOBIA,53,159,0.316,0.45,0.0024,-0.147,-0.779,-0.463,-0.14,0.0097,Female,-0.134
Schizoaffective Disorder,Subacute Pain,53,28,0.316,0.396,0.18778,0.154,-0.782,-0.314,-0.087,0.3358,Female,-0.081
Schizoaffective Disorder - Relative,SCZ,48,315,0.407,0.297,0.09499,0.566,-0.045,0.261,0.077,0.195,Female,0.109
Schizoaffective Disorder - Relative,SCZ-Relative,48,138,0.407,0.354,0.57954,0.426,-0.236,0.095,0.028,0.7857,Female,0.053
Schizoaffective Disorder - Relative,SMC,48,59,0.407,0.585,0.0222,-0.068,-0.848,-0.458,-0.123,0.0618,Female,-0.178
Schizoaffective Disorder - Relative,SPECIFIC PHOBIA,48,159,0.407,0.45,0.50455,0.216,-0.434,-0.109,-0.034,0.7003,Female,-0.043
Schizoaffective Disorder - Relative,Subacute Pain,48,28,0.407,0.396,0.80572,0.534,-0.414,0.06,0.018,0.9628,Female,0.01
SCZ,SCZ-Relative,315,138,0.297,0.354,0.09739,0.035,-0.367,-0.166,-0.049,0.1964,Female,-0.057
SCZ,SMC,315,59,0.297,0.585,0.0002,-0.418,-0.985,-0.702,-0.201,0.0012,Female,-0.288
SCZ,SPECIFIC PHOBIA,315,159,0.297,0.45,0.0004,-0.177,-0.562,-0.37,-0.111,0.0021,Female,-0.152
SCZ,Subacute Pain,315,28,0.297,0.396,0.31777,0.189,-0.588,-0.199,-0.059,0.4992,Female,-0.099
SCZ-Relative,SMC,138,59,0.354,0.585,0.0004,-0.234,-0.857,-0.546,-0.152,0.0021,Female,-0.231
SCZ-Relative,SPECIFIC PHOBIA,138,159,0.354,0.45,0.08159,0.025,-0.434,-0.205,-0.062,0.1748,Female,-0.096
SCZ-Relative,Subacute Pain,138,28,0.354,0.396,0.86311,0.376,-0.443,-0.034,-0.01,0.9901,Female,-0.042
SMC,SPECIFIC PHOBIA,59,159,0.585,0.45,0.05119,0.606,0.002,0.304,0.089,0.1215,Female,0.135
SMC,Subacute Pain,59,28,0.585,0.396,0.0212,1.012,0.084,0.548,0.142,0.0597,Female,0.189
SPECIFIC PHOBIA,Subacute Pain,159,28,0.45,0.396,0.40236,0.573,-0.236,0.168,0.052,0.5921,Female,0.053
CN,ABNORMAL VENTRICAL,38248,107,0.49,0.438,0.39616,0.272,-0.108,0.082,0.023,0.6352,Male,0.052
CN,AD,38248,458,0.49,0.28,0.0002,0.514,0.33,0.422,0.121,0.0019,Male,0.21
CN,ADHD,38248,885,0.49,0.362,0.0002,0.431,0.298,0.364,0.104,0.0019,Male,0.129
CN,Anorexia/Bulima,38248,3,0.49,0.688,0.62354,0.834,-1.429,-0.297,-0.085,0.8054,Male,-0.198
CN,Anxiety/Phobia,38248,589,0.49,0.54,0.004,-0.037,-0.2,-0.119,-0.034,0.0211,Male,-0.05
CN,ASD,38248,1628,0.49,0.467,0.0026,0.123,0.024,0.073,0.021,0.0153,Male,0.023
CN,Attention & Learning difficulty,38248,227,0.49,0.239,0.0002,0.704,0.443,0.574,0.164,0.0019,Male,0.251
CN,BD,38248,97,0.49,0.493,0.77572,0.171,-0.228,-0.029,-0.008,0.9132,Male,-0.003
CN,BIPOLAR/PSYCH-RELATIVE,38248,27,0.49,0.416,0.13999,0.66,-0.095,0.283,0.081,0.3255,Male,0.075
CN,Chronic Pain,38248,59,0.49,0.363,0.0154,0.567,0.057,0.312,0.089,0.0623,Male,0.127
CN,DEMENTIA - LBD,38248,26,0.49,0.394,0.08059,0.729,-0.04,0.344,0.098,0.2135,Male,0.096
CN,EMCI,38248,170,0.49,0.528,0.24718,0.063,-0.238,-0.087,-0.025,0.473,Male,-0.038
CN,LMCI,38248,341,0.49,0.435,0.0388,0.219,0.006,0.113,0.032,0.1244,Male,0.055
CN,MCI,38248,197,0.49,0.47,0.10559,0.254,-0.026,0.114,0.033,0.2557,Male,0.02
CN,MCI-Risk,38248,0,0.49,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
CN,MDD,38248,1789,0.49,0.519,0.0002,-0.048,-0.143,-0.096,-0.027,0.0019,Male,-0.029
CN,ND,38248,74,0.49,0.315,0.0002,0.665,0.209,0.437,0.125,0.0019,Male,0.175
CN,OCD,38248,84,0.49,0.412,0.0456,0.429,0.001,0.215,0.061,0.1395,Male,0.078
CN,Other,38248,39,0.49,0.579,0.29557,0.149,-0.479,-0.165,-0.047,0.5291,Male,-0.089
CN,OTHER,38248,43,0.49,0.401,0.17718,0.507,-0.091,0.208,0.059,0.3732,Male,0.089
CN,Other Psychiatric,38248,142,0.49,0.313,0.0002,0.518,0.188,0.353,0.101,0.0019,Male,0.177
CN,PD,38248,136,0.49,0.599,0.0006,-0.164,-0.501,-0.333,-0.095,0.0046,Male,-0.109
CN,SAD,38248,155,0.49,0.489,0.60714,0.199,-0.116,0.041,0.012,0.7998,Male,0.002
CN,Schizoaffective Disorder,38248,56,0.49,0.351,0.016,0.586,0.062,0.324,0.093,0.0641,Male,0.14
CN,Schizoaffective Disorder - Relative,38248,25,0.49,0.425,0.0366,0.823,0.039,0.431,0.123,0.119,Male,0.065
CN,SCZ,38248,718,0.49,0.387,0.0002,0.378,0.23,0.304,0.087,0.0019,Male,0.103
CN,SCZ-Relative,38248,66,0.49,0.405,0.59434,0.307,-0.176,0.065,0.019,0.7913,Male,0.085
CN,SMC,38248,44,0.49,0.508,0.41856,0.178,-0.414,-0.118,-0.034,0.6519,Male,-0.018
CN,SPECIFIC PHOBIA,38248,55,0.49,0.445,0.88511,0.245,-0.284,-0.02,-0.006,1,Male,0.046
CN,Subacute Pain,38248,30,0.49,0.399,0.24518,0.571,-0.145,0.213,0.061,0.4711,Male,0.091
ABNORMAL VENTRICAL,AD,107,458,0.438,0.28,0.0046,0.531,0.108,0.319,0.097,0.0232,Male,0.158
ABNORMAL VENTRICAL,ADHD,107,885,0.438,0.362,0.0056,0.495,0.092,0.293,0.08,0.0268,Male,0.076
ABNORMAL VENTRICAL,Anorexia/Bulima,107,3,0.438,0.688,0.53555,0.788,-1.535,-0.373,-0.108,0.7509,Male,-0.25
ABNORMAL VENTRICAL,Anxiety/Phobia,107,589,0.438,0.54,0.05799,0.009,-0.404,-0.197,-0.057,0.1675,Male,-0.102
ABNORMAL VENTRICAL,ASD,107,1628,0.438,0.467,0.94731,0.188,-0.204,-0.008,-0.002,1,Male,-0.029
ABNORMAL VENTRICAL,Attention & Learning difficulty,107,227,0.438,0.239,0.0002,0.732,0.264,0.498,0.14,0.0019,Male,0.199
ABNORMAL VENTRICAL,BD,107,97,0.438,0.493,0.41596,0.162,-0.391,-0.114,-0.032,0.6519,Male,-0.055
ABNORMAL VENTRICAL,BIPOLAR/PSYCH-RELATIVE,107,27,0.438,0.416,0.37016,0.625,-0.229,0.198,0.057,0.6043,Male,0.022
ABNORMAL VENTRICAL,Chronic Pain,107,59,0.438,0.363,0.15838,0.549,-0.093,0.228,0.066,0.349,Male,0.074
ABNORMAL VENTRICAL,DEMENTIA - LBD,107,26,0.438,0.394,0.24198,0.691,-0.176,0.258,0.075,0.4669,Male,0.044
ABNORMAL VENTRICAL,EMCI,107,170,0.438,0.528,0.17298,0.078,-0.409,-0.165,-0.048,0.369,Male,-0.091
ABNORMAL VENTRICAL,LMCI,107,341,0.438,0.435,0.78672,0.247,-0.188,0.029,0.009,0.9215,Male,0.003
ABNORMAL VENTRICAL,MCI,107,197,0.438,0.47,0.79572,0.267,-0.206,0.03,0.009,0.925,Male,-0.033
ABNORMAL VENTRICAL,MCI-Risk,107,0,0.438,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
ABNORMAL VENTRICAL,MDD,107,1789,0.438,0.519,0.07239,0.019,-0.371,-0.176,-0.051,0.198,Male,-0.081
ABNORMAL VENTRICAL,ND,107,74,0.438,0.315,0.027,0.634,0.033,0.333,0.101,0.0965,Male,0.123
ABNORMAL VENTRICAL,OCD,107,84,0.438,0.412,0.33817,0.426,-0.149,0.138,0.038,0.5697,Male,0.025
ABNORMAL VENTRICAL,Other,107,39,0.438,0.579,0.19598,0.128,-0.614,-0.243,-0.07,0.398,Male,-0.141
ABNORMAL VENTRICAL,OTHER,107,43,0.438,0.401,0.52115,0.477,-0.237,0.12,0.036,0.7439,Male,0.037
ABNORMAL VENTRICAL,Other Psychiatric,107,142,0.438,0.313,0.0394,0.52,0.013,0.266,0.077,0.1255,Male,0.125
ABNORMAL VENTRICAL,PD,107,136,0.438,0.599,0.0006,-0.177,-0.692,-0.434,-0.118,0.0046,Male,-0.162
ABNORMAL VENTRICAL,SAD,107,155,0.438,0.489,0.76832,0.208,-0.287,-0.039,-0.012,0.9132,Male,-0.051
ABNORMAL VENTRICAL,Schizoaffective Disorder,107,56,0.438,0.351,0.14399,0.568,-0.085,0.242,0.069,0.3331,Male,0.087
ABNORMAL VENTRICAL,Schizoaffective Disorder - Relative,107,25,0.438,0.425,0.11539,0.786,-0.097,0.344,0.1,0.2752,Male,0.013
ABNORMAL VENTRICAL,SCZ,107,718,0.438,0.387,0.028,0.428,0.021,0.225,0.063,0.0971,Male,0.051
ABNORMAL VENTRICAL,SCZ-Relative,107,66,0.438,0.405,0.92851,0.293,-0.325,-0.016,-0.005,1,Male,0.033
ABNORMAL VENTRICAL,SMC,107,44,0.438,0.508,0.27697,0.155,-0.554,-0.2,-0.057,0.5111,Male,-0.071
ABNORMAL VENTRICAL,SPECIFIC PHOBIA,107,55,0.438,0.445,0.53175,0.228,-0.427,-0.1,-0.029,0.7493,Male,-0.007
ABNORMAL VENTRICAL,Subacute Pain,107,30,0.438,0.399,0.54375,0.535,-0.282,0.126,0.037,0.7525,Male,0.039
AD,ADHD,458,885,0.28,0.362,0.31557,0.054,-0.172,-0.059,-0.017,0.5415,Male,-0.081
AD,Anorexia/Bulima,458,3,0.28,0.688,0.25897,0.472,-1.806,-0.667,-0.205,0.4915,Male,-0.408
AD,Anxiety/Phobia,458,589,0.28,0.54,0.0002,-0.393,-0.642,-0.518,-0.155,0.0019,Male,-0.26
AD,ASD,458,1628,0.28,0.467,0.0002,-0.224,-0.432,-0.328,-0.1,0.0019,Male,-0.187
AD,Attention & Learning difficulty,458,227,0.28,0.239,0.07479,0.304,-0.015,0.145,0.043,0.2034,Male,0.041
AD,BD,458,97,0.28,0.493,0.0006,-0.208,-0.65,-0.429,-0.129,0.0046,Male,-0.213
AD,BIPOLAR/PSYCH-RELATIVE,458,27,0.28,0.416,0.50855,0.259,-0.52,-0.13,-0.04,0.7436,Male,-0.135
AD,Chronic Pain,458,59,0.28,0.363,0.45215,0.169,-0.375,-0.103,-0.032,0.6916,Male,-0.083
AD,DEMENTIA - LBD,458,26,0.28,0.394,0.69813,0.324,-0.469,-0.073,-0.022,0.8611,Male,-0.114
AD,EMCI,458,170,0.28,0.528,0.0002,-0.3,-0.656,-0.478,-0.146,0.0019,Male,-0.248
AD,LMCI,458,341,0.28,0.435,0.0002,-0.151,-0.433,-0.292,-0.088,0.0019,Male,-0.155
AD,MCI,458,197,0.28,0.47,0.0016,-0.118,-0.454,-0.286,-0.088,0.0102,Male,-0.19
AD,MCI-Risk,458,0,0.28,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
AD,MDD,458,1789,0.28,0.519,0.0002,-0.401,-0.609,-0.505,-0.148,0.0019,Male,-0.239
AD,ND,458,74,0.28,0.315,0.92711,0.259,-0.233,0.013,0.004,1,Male,-0.035
AD,OCD,458,84,0.28,0.412,0.10079,0.036,-0.431,-0.198,-0.059,0.248,Male,-0.132
AD,Other,458,39,0.28,0.579,0.0016,-0.217,-0.876,-0.547,-0.168,0.0102,Male,-0.299
AD,OTHER,458,43,0.28,0.401,0.21978,0.116,-0.511,-0.197,-0.061,0.4349,Male,-0.121
AD,Other Psychiatric,458,142,0.28,0.313,0.48595,0.124,-0.254,-0.065,-0.02,0.7222,Male,-0.033
