Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,LMCI,885,341,0.368,0.329,0.71593,0.147,-0.103,0.022,0.006,0.758,Male,0.039
ADHD,MCI,885,197,0.368,0.406,0.22278,0.059,-0.25,-0.095,-0.028,0.243,Male,-0.038
ADHD,MDD,885,1789,0.368,0.515,0.0002,-0.324,-0.486,-0.405,-0.116,0.0003,Male,-0.147
ADHD,SCZ,885,718,0.368,0.444,0.0002,-0.104,-0.301,-0.203,-0.059,0.0003,Male,-0.076
Anxiety/Phobia,ASD,589,1610,0.529,0.501,0.05459,0.187,-0.002,0.093,0.028,0.0655,Male,0.028
Anxiety/Phobia,LMCI,589,341,0.529,0.329,0.0002,0.564,0.294,0.429,0.126,0.0003,Male,0.2
Anxiety/Phobia,MCI,589,197,0.529,0.406,0.0002,0.478,0.154,0.316,0.092,0.0003,Male,0.124
Anxiety/Phobia,MDD,589,1789,0.529,0.515,0.82152,0.103,-0.083,0.01,0.003,0.845,Male,0.014
Anxiety/Phobia,SCZ,589,718,0.529,0.444,0.0004,0.313,0.094,0.204,0.06,0.0007,Male,0.085
ASD,LMCI,1610,341,0.501,0.329,0.0002,0.442,0.207,0.325,0.098,0.0003,Male,0.172
ASD,MCI,1610,197,0.501,0.406,0.0048,0.361,0.064,0.212,0.064,0.0066,Male,0.096
ASD,MDD,1610,1789,0.501,0.515,0.0126,-0.017,-0.152,-0.084,-0.025,0.0168,Male,-0.014
ASD,SCZ,1610,718,0.501,0.444,0.0184,0.195,0.019,0.107,0.032,0.0237,Male,0.057
LMCI,MCI,341,197,0.329,0.406,0.18358,0.059,-0.293,-0.117,-0.034,0.2065,Male,-0.077
LMCI,MDD,341,1789,0.329,0.515,0.0002,-0.311,-0.544,-0.428,-0.123,0.0003,Male,-0.186
LMCI,SCZ,341,718,0.329,0.444,0.0008,-0.093,-0.352,-0.223,-0.066,0.0013,Male,-0.115
MCI,MDD,197,1789,0.406,0.515,0.0002,-0.164,-0.459,-0.311,-0.089,0.0003,Male,-0.109
MCI,SCZ,197,718,0.406,0.444,0.17578,0.049,-0.266,-0.108,-0.032,0.2041,Male,-0.039
MDD,SCZ,1789,718,0.515,0.444,0.0002,0.284,0.111,0.197,0.057,0.0003,Male,0.071
