Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,MCI,885,197,0.379,0.535,0.0002,-0.168,-0.478,-0.323,-0.095,0.0005,Male,-0.155
ADHD,MDD,885,1789,0.379,0.521,0.0002,-0.297,-0.459,-0.378,-0.11,0.0005,Male,-0.142
ADHD,SCZ,885,718,0.379,0.444,0.0114,-0.029,-0.226,-0.127,-0.037,0.0187,Male,-0.064
Anxiety/Phobia,ASD,589,1628,0.559,0.463,0.0002,0.295,0.106,0.201,0.06,0.0005,Male,0.096
Anxiety/Phobia,LMCI,589,341,0.559,0.551,0.73473,0.112,-0.155,-0.021,-0.006,0.7557,Male,0.008
Anxiety/Phobia,MCI,589,197,0.559,0.535,0.31137,0.243,-0.08,0.082,0.024,0.3736,Male,0.024
Anxiety/Phobia,MDD,589,1789,0.559,0.521,0.51175,0.124,-0.062,0.031,0.009,0.5583,Male,0.038
Anxiety/Phobia,SCZ,589,718,0.559,0.444,0.0002,0.397,0.178,0.288,0.082,0.0005,Male,0.115
ASD,LMCI,1628,341,0.463,0.551,0.0004,-0.101,-0.335,-0.218,-0.066,0.0008,Male,-0.087
ASD,MCI,1628,197,0.463,0.535,0.11579,0.03,-0.266,-0.118,-0.036,0.1489,Male,-0.071
ASD,MDD,1628,1789,0.463,0.521,0.0002,-0.104,-0.239,-0.171,-0.051,0.0005,Male,-0.058
ASD,SCZ,1628,718,0.463,0.444,0.09359,0.162,-0.014,0.074,0.022,0.1296,Male,0.02
LMCI,MCI,341,197,0.551,0.535,0.27417,0.274,-0.078,0.098,0.03,0.3404,Male,0.016
LMCI,MDD,341,1789,0.551,0.521,0.39436,0.167,-0.065,0.051,0.015,0.458,Male,0.03
LMCI,SCZ,341,718,0.551,0.444,0.0002,0.433,0.173,0.303,0.088,0.0005,Male,0.107
MCI,MDD,197,1789,0.535,0.521,0.51095,0.096,-0.198,-0.051,-0.015,0.5583,Male,0.014
MCI,SCZ,197,718,0.535,0.444,0.0144,0.355,0.039,0.197,0.058,0.0225,Male,0.091
MDD,SCZ,1789,718,0.521,0.444,0.0002,0.339,0.165,0.252,0.073,0.0005,Male,0.077
