Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,MCI,885,197,0.362,0.47,0.0008,-0.1,-0.41,-0.255,-0.071,0.0015,Male,-0.109
ADHD,MDD,885,1789,0.362,0.519,0.0002,-0.381,-0.544,-0.463,-0.131,0.0004,Male,-0.157
ADHD,SCZ,885,718,0.362,0.387,0.22398,0.036,-0.161,-0.062,-0.017,0.2601,Male,-0.026
Anxiety/Phobia,ASD,589,1628,0.54,0.467,0.0002,0.278,0.089,0.183,0.055,0.0004,Male,0.073
Anxiety/Phobia,LMCI,589,341,0.54,0.435,0.0012,0.359,0.092,0.225,0.066,0.0022,Male,0.105
Anxiety/Phobia,MCI,589,197,0.54,0.47,0.0072,0.387,0.063,0.225,0.067,0.01,Male,0.069
Anxiety/Phobia,MDD,589,1789,0.54,0.519,0.63034,0.116,-0.071,0.023,0.007,0.6494,Male,0.021
Anxiety/Phobia,SCZ,589,718,0.54,0.387,0.0002,0.533,0.313,0.423,0.121,0.0004,Male,0.153
ASD,LMCI,1628,341,0.467,0.435,0.53775,0.154,-0.08,0.037,0.011,0.5866,Male,0.032
ASD,MCI,1628,197,0.467,0.47,0.63134,0.186,-0.11,0.038,0.012,0.6494,Male,-0.003
ASD,MDD,1628,1789,0.467,0.519,0.0002,-0.096,-0.231,-0.164,-0.048,0.0004,Male,-0.052
ASD,SCZ,1628,718,0.467,0.387,0.0002,0.31,0.134,0.222,0.066,0.0004,Male,0.08
LMCI,MCI,341,197,0.435,0.47,0.9931,0.177,-0.174,0.002,0,0.9931,Male,-0.035
LMCI,MDD,341,1789,0.435,0.519,0.0002,-0.089,-0.321,-0.205,-0.06,0.0004,Male,-0.084
LMCI,SCZ,341,718,0.435,0.387,0.0042,0.321,0.062,0.191,0.055,0.0063,Male,0.048
MCI,MDD,197,1789,0.47,0.519,0.006,-0.059,-0.354,-0.206,-0.06,0.0086,Male,-0.049
MCI,SCZ,197,718,0.47,0.387,0.0198,0.347,0.031,0.189,0.054,0.0264,Male,0.083
MDD,SCZ,1789,718,0.519,0.387,0.0002,0.486,0.311,0.398,0.114,0.0004,Male,0.132
