Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,33060,73,0.498,0.523,0.75372,0.267,-0.192,0.037,0.011,1,Female,-0.025
CN,AD,33060,528,0.498,0.131,0.0002,1.031,0.858,0.944,0.27,0.0012,Female,0.367
CN,ADHD,33060,222,0.498,0.431,0.0338,0.276,0.012,0.144,0.041,0.0995,Female,0.067
CN,Anorexia/Bulima,33060,68,0.498,0.488,0.9893,0.236,-0.24,-0.002,-0.001,1,Female,0.01
CN,Anxiety/Phobia,33060,975,0.498,0.49,0.81152,0.072,-0.056,0.008,0.002,1,Female,0.008
CN,ASD,33060,365,0.498,0.501,0.40716,0.059,-0.148,-0.045,-0.013,0.731,Female,-0.002
CN,Attention & Learning difficulty,33060,99,0.498,0.484,0.90011,0.212,-0.183,0.014,0.004,1,Female,0.014
CN,BD,33060,80,0.498,0.44,0.07499,0.418,-0.021,0.199,0.057,0.1875,Female,0.059
CN,BIPOLAR/PSYCH-RELATIVE,33060,47,0.498,0.591,0.09199,0.034,-0.538,-0.252,-0.072,0.2251,Female,-0.093
CN,Chronic Pain,33060,0,0.498,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,DEMENTIA - LBD,33060,21,0.498,0.093,0.0002,1.391,0.535,0.963,0.275,0.0012,Female,0.405
CN,EMCI,33060,139,0.498,0.593,0.0004,-0.149,-0.482,-0.316,-0.09,0.0021,Female,-0.095
CN,LMCI,33060,217,0.498,0.297,0.0002,0.661,0.393,0.527,0.151,0.0012,Female,0.201
CN,MCI,33060,245,0.498,0.317,0.0002,0.539,0.287,0.413,0.118,0.0012,Female,0.181
CN,MCI-Risk,33060,0,0.498,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,33060,3158,0.498,0.488,0.16138,0.062,-0.011,0.026,0.007,0.3608,Female,0.01
CN,ND,33060,100,0.498,0.281,0.0002,0.662,0.269,0.466,0.133,0.0012,Female,0.217
CN,OCD,33060,63,0.498,0.495,0.87011,0.228,-0.266,-0.019,-0.005,1,Female,0.003
CN,Other,33060,3,0.498,0.58,0.85611,1.028,-1.236,-0.104,-0.03,1,Female,-0.082
CN,OTHER,33060,54,0.498,0.444,0.29677,0.409,-0.124,0.143,0.041,0.5774,Female,0.054
CN,Other Psychiatric,33060,111,0.498,0.465,0.68613,0.226,-0.147,0.039,0.011,1,Female,0.033
CN,PD,33060,0,0.498,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,SAD,33060,150,0.498,0.399,0.018,0.354,0.033,0.194,0.055,0.0569,Female,0.099
CN,Schizoaffective Disorder,33060,40,0.498,0.397,0.026,0.676,0.056,0.366,0.105,0.0785,Female,0.102
CN,Schizoaffective Disorder - Relative,33060,50,0.498,0.587,0.79792,0.242,-0.313,-0.036,-0.01,1,Female,-0.089
CN,SCZ,33060,75,0.498,0.248,0.0002,0.811,0.357,0.584,0.167,0.0012,Female,0.25
CN,SCZ-Relative,33060,71,0.498,0.551,0.19318,0.081,-0.385,-0.152,-0.043,0.4198,Female,-0.053
CN,SMC,33060,59,0.498,0.668,0.0032,-0.144,-0.655,-0.4,-0.114,0.0134,Female,-0.17
CN,SPECIFIC PHOBIA,33060,159,0.498,0.44,0.06379,0.301,-0.01,0.145,0.042,0.1676,Female,0.059
CN,Subacute Pain,33060,0,0.498,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,AD,73,528,0.523,0.131,0.0002,1.278,0.774,1.026,0.259,0.0012,Female,0.392
ABNORMAL VENTRICAL,ADHD,73,222,0.523,0.431,0.44156,0.369,-0.162,0.103,0.03,0.7748,Female,0.091
ABNORMAL VENTRICAL,Anorexia/Bulima,73,68,0.523,0.488,0.79672,0.291,-0.376,-0.043,-0.011,1,Female,0.035
ABNORMAL VENTRICAL,Anxiety/Phobia,73,975,0.523,0.49,0.80072,0.209,-0.267,-0.029,-0.008,1,Female,0.033
ABNORMAL VENTRICAL,ASD,73,365,0.523,0.501,0.53115,0.173,-0.331,-0.079,-0.023,0.908,Female,0.022
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.523,0.484,0.89531,0.282,-0.327,-0.022,-0.007,1,Female,0.039
ABNORMAL VENTRICAL,BD,73,80,0.523,0.44,0.26017,0.499,-0.141,0.179,0.046,0.5192,Female,0.083
ABNORMAL VENTRICAL,BIPOLAR/PSYCH-RELATIVE,73,47,0.523,0.591,0.07039,0.035,-0.711,-0.338,-0.083,0.1829,Female,-0.068
ABNORMAL VENTRICAL,Chronic Pain,73,0,0.523,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,DEMENTIA - LBD,73,21,0.523,0.093,0.0002,1.51,0.485,0.998,0.265,0.0012,Female,0.429
ABNORMAL VENTRICAL,EMCI,73,139,0.523,0.593,0.0124,-0.088,-0.663,-0.376,-0.101,0.043,Female,-0.07
ABNORMAL VENTRICAL,LMCI,73,217,0.523,0.297,0.0008,0.769,0.231,0.5,0.14,0.0038,Female,0.226
ABNORMAL VENTRICAL,MCI,73,245,0.523,0.317,0.0058,0.631,0.103,0.367,0.107,0.0229,Female,0.206
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.523,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3158,0.523,0.488,0.93091,0.221,-0.243,-0.011,-0.003,1,Female,0.035
ABNORMAL VENTRICAL,ND,73,100,0.523,0.281,0.0072,0.729,0.115,0.422,0.122,0.0268,Female,0.242
ABNORMAL VENTRICAL,OCD,73,63,0.523,0.495,0.71953,0.279,-0.401,-0.061,-0.016,1,Female,0.028
