Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
Other,Schizoaffective Disorder,2,30,0.515,0.372,0.59634,1.938,-1.053,0.442,0.13,1,Male,0.144
Other,SCZ,2,212,0.515,0.351,0.53355,1.834,-0.968,0.433,0.122,0.9857,Male,0.165
Other,SCZ-Relative,2,33,0.515,0.474,0.93971,1.522,-1.442,0.04,0.011,1,Male,0.041
Other,SMC,2,44,0.515,0.569,0.9647,1.415,-1.499,-0.042,-0.012,1,Male,-0.054
Other,SPECIFIC PHOBIA,2,55,0.515,0.556,0.89871,1.353,-1.532,-0.089,-0.025,1,Male,-0.041
OTHER,Other Psychiatric,43,142,0.43,0.335,0.49875,0.459,-0.228,0.115,0.034,0.9362,Male,0.096
OTHER,PD,43,0,0.43,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
OTHER,SAD,43,155,0.43,0.504,0.36176,0.181,-0.5,-0.16,-0.049,0.7743,Male,-0.074
OTHER,Schizoaffective Disorder,43,30,0.43,0.372,0.51235,0.633,-0.317,0.158,0.05,0.9566,Male,0.058
OTHER,SCZ,43,212,0.43,0.351,0.38296,0.475,-0.184,0.146,0.042,0.7954,Male,0.08
OTHER,SCZ-Relative,43,33,0.43,0.474,0.33157,0.24,-0.685,-0.222,-0.069,0.7184,Male,-0.044
OTHER,SMC,43,44,0.43,0.569,0.16158,0.132,-0.726,-0.297,-0.092,0.4248,Male,-0.139
OTHER,SPECIFIC PHOBIA,43,55,0.43,0.556,0.08799,0.061,-0.753,-0.346,-0.104,0.2808,Male,-0.126
Other Psychiatric,PD,142,0,0.335,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
Other Psychiatric,SAD,142,155,0.335,0.504,0.0166,-0.054,-0.513,-0.283,-0.083,0.0777,Male,-0.169
Other Psychiatric,Schizoaffective Disorder,142,30,0.335,0.372,0.78052,0.453,-0.34,0.056,0.016,1,Male,-0.037
Other Psychiatric,SCZ,142,212,0.335,0.351,0.77272,0.243,-0.184,0.029,0.008,1,Male,-0.016
Other Psychiatric,SCZ-Relative,142,33,0.335,0.474,0.07019,0.022,-0.745,-0.361,-0.103,0.2389,Male,-0.139
Other Psychiatric,SMC,142,44,0.335,0.569,0.0142,-0.097,-0.784,-0.441,-0.126,0.0673,Male,-0.235
Other Psychiatric,SPECIFIC PHOBIA,142,55,0.335,0.556,0.0026,-0.172,-0.806,-0.489,-0.139,0.0155,Male,-0.222
PD,SAD,0,155,  NA,0.504,1, NaN, NaN, NaN, NaN,1,Male,  NA
PD,Schizoaffective Disorder,0,30,  NA,0.372,1, NaN, NaN, NaN, NaN,1,Male,  NA
PD,SCZ,0,212,  NA,0.351,1, NaN, NaN, NaN, NaN,1,Male,  NA
PD,SCZ-Relative,0,33,  NA,0.474,1, NaN, NaN, NaN, NaN,1,Male,  NA
PD,SMC,0,44,  NA,0.569,1, NaN, NaN, NaN, NaN,1,Male,  NA
PD,SPECIFIC PHOBIA,0,55,  NA,0.556,1, NaN, NaN, NaN, NaN,1,Male,  NA
SAD,Schizoaffective Disorder,155,30,0.504,0.372,0.10559,0.727,-0.063,0.332,0.099,0.3201,Male,0.132
SAD,SCZ,155,212,0.504,0.351,0.003,0.524,0.106,0.315,0.091,0.0175,Male,0.154
SAD,SCZ-Relative,155,33,0.504,0.474,0.74313,0.311,-0.446,-0.068,-0.02,1,Male,0.03
SAD,SMC,155,44,0.504,0.569,0.39516,0.192,-0.482,-0.145,-0.043,0.8111,Male,-0.065
SAD,SPECIFIC PHOBIA,155,55,0.504,0.556,0.22678,0.12,-0.5,-0.19,-0.056,0.5601,Male,-0.052
Schizoaffective Disorder,SCZ,30,212,0.372,0.351,0.87431,0.357,-0.412,-0.028,-0.008,1,Male,0.021
Schizoaffective Disorder,SCZ-Relative,30,33,0.372,0.474,0.10579,0.1,-0.92,-0.41,-0.119,0.3201,Male,-0.102
Schizoaffective Disorder,SMC,30,44,0.372,0.569,0.04,-0.007,-0.965,-0.486,-0.142,0.151,Male,-0.198
Schizoaffective Disorder,SPECIFIC PHOBIA,30,55,0.372,0.556,0.0216,-0.082,-1,-0.541,-0.155,0.0948,Male,-0.185
SCZ,SCZ-Relative,212,33,0.351,0.474,0.0388,-0.023,-0.764,-0.393,-0.111,0.148,Male,-0.124
SCZ,SMC,212,44,0.351,0.569,0.0054,-0.144,-0.802,-0.473,-0.134,0.0306,Male,-0.219
SCZ,SPECIFIC PHOBIA,212,55,0.351,0.556,0.0004,-0.22,-0.822,-0.521,-0.147,0.0034,Male,-0.206
SCZ-Relative,SMC,33,44,0.474,0.569,0.71353,0.378,-0.54,-0.081,-0.023,1,Male,-0.095
SCZ-Relative,SPECIFIC PHOBIA,33,55,0.474,0.556,0.57474,0.31,-0.566,-0.128,-0.036,1,Male,-0.082
SMC,SPECIFIC PHOBIA,44,55,0.569,0.556,0.82432,0.356,-0.447,-0.045,-0.013,1,Male,0.013
