Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
Other,SCZ-Relative,117,138,0.395,0.373,0.77492,0.213,-0.282,-0.034,-0.01,0.9158,Female,0.022
Other,SMC,117,59,0.395,0.477,0.26137,0.138,-0.493,-0.178,-0.047,0.4151,Female,-0.082
Other,SPECIFIC PHOBIA,117,159,0.395,0.425,0.68993,0.192,-0.288,-0.048,-0.014,0.8569,Female,-0.03
OTHER,Other Psychiatric,56,111,0.185,0.474,0.0002,-0.35,-1.013,-0.682,-0.185,0.0007,Female,-0.289
OTHER,PD,56,67,0.185,0.635,0.0002,-0.794,-1.571,-1.182,-0.316,0.0007,Female,-0.449
OTHER,SAD,56,150,0.185,0.483,0.0002,-0.389,-1.022,-0.705,-0.19,0.0007,Female,-0.298
OTHER,Schizoaffective Disorder,56,53,0.185,0.236,0.72073,0.311,-0.449,-0.069,-0.017,0.8753,Female,-0.051
OTHER,SCZ,56,315,0.185,0.351,0.0056,-0.124,-0.698,-0.411,-0.123,0.014,Female,-0.166
OTHER,SCZ-Relative,56,138,0.185,0.373,0.0006,-0.238,-0.872,-0.555,-0.165,0.0018,Female,-0.187
OTHER,SMC,56,59,0.185,0.477,0.0002,-0.404,-1.171,-0.788,-0.202,0.0007,Female,-0.291
OTHER,SPECIFIC PHOBIA,56,159,0.185,0.425,0.0006,-0.269,-0.891,-0.58,-0.169,0.0018,Female,-0.24
Other Psychiatric,PD,111,67,0.474,0.635,0.0018,-0.183,-0.803,-0.493,-0.13,0.0049,Female,-0.161
Other Psychiatric,SAD,111,150,0.474,0.483,0.88591,0.228,-0.265,-0.018,-0.005,1,Female,-0.009
Other Psychiatric,Schizoaffective Disorder,111,53,0.474,0.236,0.0002,0.997,0.322,0.66,0.168,0.0007,Female,0.238
Other Psychiatric,SCZ,111,315,0.474,0.351,0.05679,0.429,-0.006,0.211,0.062,0.1126,Female,0.123
Other Psychiatric,SCZ-Relative,111,138,0.474,0.373,0.57814,0.323,-0.18,0.071,0.021,0.76,Female,0.101
