"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"69","Oulu","0.999999540426738","1.17513290246434e-303","10430.5564049311","100","0.999999318520725","0.999999690074837"
"70","PING","0.999721625314354","0","1172.71864492376","766","0.999679246761945","0.999758405405043"
"71","Pixar","0.999993140303988","0","3339.45847888984","153","0.99999057269763","0.999995008602559"
"72","PNC","0.999987019459842","0","7157.48113535503","1330","0.999985545914478","0.999988342783092"
"73","POND","0.999994498098563","7.35663120747106e-235","2922.74370541023","94","0.999991738799105","0.999996335774198"
"74","PPMI","0.999989292245623","2.67217298098275e-242","2193.06208461339","103","0.999984214428084","0.999992736664165"
"75","PREVENTAD","0.999999515044741","0","19767.5848941012","379","0.999999406714388","0.999999603594633"
"76","Psyscan_Dublin","0.999992625699244","0","3210.28782067048","152","0.999989854817994","0.999994639791476"
"77","RDB","0.999877362970557","8.64279309316522e-300","820.117756181156","165","0.999833448927766","0.999909698846658"
"78","SALD","0.999998802334768","0","14022.5612144373","471","0.999998564968648","0.999999000438578"
"79","SCZIowa","0.999994573270449","1.80959328889975e-262","3110.34665576588","105","0.999992029749285","0.999996305087165"
"80","SLIM","0.999994343597123","0","8071.36033878543","737","0.999993464308356","0.999995104589788"
"81","STRIVE","0.99999851861537","6.00136381330132e-79","3074.18230331712","28","0.999996850112096","0.999999303308715"
"82","SWU_MDD","0.999980150115898","0","2233.22326742066","198","0.999973754927037","0.999984986988132"
"83","SYS_Adults","0.999999802162443","0","38940.9186945428","600","0.999999767797422","0.999999831441584"
"84","TOPSY","0.999999807742297","3.78942168140968e-88","8379.6319989635","27","0.999999585282449","0.999999910871816"
"85","UCSD","0.99996423986329","4.40262822596438e-126","915.902815568065","60","0.99994042994461","0.999978533152536"
"86","UKB","0.999196314547132","0","4247.13520019671","29029","0.999177617086948","0.999214587074275"
"87","VETSA","0.999999952277031","0","75286.9823012312","541","0.999999943507965","0.999999959684904"
"88","VITA","0.999997233554781","4.20796026514612e-133","3006.13213289513","50","0.999995156915296","0.999998419764218"
"89","WAYNE","0.999979422018312","0","2182.2522346288","196","0.999972753360509","0.999984458524329"
