Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
AD,SCZ,458,709,0.824,0.601,0.0002,0.804,0.562,0.683,0.183,0.0003,Male,0.222
ADHD,Anxiety/Phobia,885,589,0.414,0.533,0.0002,-0.157,-0.367,-0.262,-0.076,0.0003,Male,-0.119
ADHD,ASD,885,1622,0.414,0.526,0.0002,-0.163,-0.327,-0.245,-0.073,0.0003,Male,-0.112
ADHD,Attention & Learning difficulty,885,227,0.414,0.278,0.0002,0.45,0.157,0.304,0.091,0.0003,Male,0.137
ADHD,EMCI,885,170,0.414,0.611,0.0002,-0.304,-0.635,-0.47,-0.139,0.0003,Male,-0.197
ADHD,LMCI,885,341,0.414,0.732,0.0002,-0.609,-0.866,-0.738,-0.216,0.0003,Male,-0.318
ADHD,MCI,885,197,0.414,0.74,0.0002,-0.572,-0.887,-0.73,-0.215,0.0003,Male,-0.326
ADHD,MDD,885,1746,0.414,0.576,0.0002,-0.277,-0.44,-0.359,-0.102,0.0003,Male,-0.162
ADHD,Other Psychiatric,885,142,0.414,0.41,0.36576,0.095,-0.26,-0.083,-0.025,0.3962,Male,0.004
ADHD,SAD,885,155,0.414,0.582,0.0002,-0.218,-0.561,-0.39,-0.115,0.0003,Male,-0.168
ADHD,SCZ,885,709,0.414,0.601,0.0002,-0.313,-0.513,-0.413,-0.122,0.0003,Male,-0.187
Anxiety/Phobia,ASD,589,1622,0.533,0.526,0.83332,0.105,-0.084,0.011,0.003,0.8441,Male,0.007
Anxiety/Phobia,Attention & Learning difficulty,589,227,0.533,0.278,0.0002,0.741,0.429,0.585,0.167,0.0003,Male,0.256
Anxiety/Phobia,EMCI,589,170,0.533,0.611,0.0088,-0.056,-0.399,-0.227,-0.063,0.0113,Male,-0.077
Anxiety/Phobia,LMCI,589,341,0.533,0.732,0.0002,-0.371,-0.642,-0.507,-0.14,0.0003,Male,-0.199
Anxiety/Phobia,MCI,589,197,0.533,0.74,0.0002,-0.34,-0.667,-0.503,-0.139,0.0003,Male,-0.206
Anxiety/Phobia,MDD,589,1746,0.533,0.576,0.046,-0.002,-0.189,-0.096,-0.027,0.0561,Male,-0.043
Anxiety/Phobia,Other Psychiatric,589,142,0.533,0.41,0.05319,0.364,-0.004,0.18,0.051,0.0638,Male,0.123
Anxiety/Phobia,SAD,589,155,0.533,0.582,0.11119,0.035,-0.32,-0.143,-0.04,0.1239,Male,-0.049
Anxiety/Phobia,SCZ,589,709,0.533,0.601,0.0034,-0.053,-0.272,-0.162,-0.046,0.0049,Male,-0.068
ASD,Attention & Learning difficulty,1622,227,0.526,0.278,0.0002,0.69,0.41,0.55,0.164,0.0003,Male,0.248
ASD,EMCI,1622,170,0.526,0.611,0.008,-0.066,-0.382,-0.224,-0.066,0.0106,Male,-0.085
ASD,LMCI,1622,341,0.526,0.732,0.0002,-0.37,-0.606,-0.488,-0.143,0.0003,Male,-0.206
ASD,MCI,1622,197,0.526,0.74,0.0002,-0.335,-0.632,-0.483,-0.143,0.0003,Male,-0.214
ASD,MDD,1622,1746,0.526,0.576,0.004,-0.035,-0.171,-0.103,-0.03,0.0056,Male,-0.05
ASD,Other Psychiatric,1622,142,0.526,0.41,0.06399,0.333,-0.011,0.161,0.048,0.0756,Male,0.116
ASD,SAD,1622,155,0.526,0.582,0.08239,0.021,-0.309,-0.144,-0.043,0.0959,Male,-0.056
ASD,SCZ,1622,709,0.526,0.601,0.0002,-0.079,-0.256,-0.167,-0.049,0.0003,Male,-0.075
Attention & Learning difficulty,EMCI,227,170,0.278,0.611,0.0002,-0.567,-0.98,-0.773,-0.23,0.0003,Male,-0.333
Attention & Learning difficulty,LMCI,227,341,0.278,0.732,0.0002,-0.879,-1.237,-1.058,-0.307,0.0003,Male,-0.455
