Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38839,529,0.497,0.152,0.0002,0.964,0.792,0.878,0.251,0.0004,Female,0.345
CN,ADHD,38839,329,0.497,0.518,0.34997,0.16,-0.057,0.052,0.015,0.3739,Female,-0.021
CN,Anxiety/Phobia,38839,1039,0.497,0.484,0.31697,0.092,-0.031,0.031,0.009,0.3434,Female,0.013
CN,ASD,38839,381,0.497,0.513,0.24838,0.044,-0.158,-0.057,-0.016,0.2768,Female,-0.016
CN,Attention & Learning difficulty,38839,99,0.497,0.197,0.0002,0.92,0.525,0.722,0.206,0.0004,Female,0.3
CN,EMCI,38839,139,0.497,0.621,0.0016,-0.117,-0.45,-0.284,-0.081,0.0028,Female,-0.124
CN,LMCI,38839,216,0.497,0.313,0.0002,0.593,0.326,0.46,0.131,0.0004,Female,0.184
CN,MCI,38839,253,0.497,0.302,0.0002,0.549,0.302,0.426,0.122,0.0004,Female,0.195
CN,MDD,38839,3461,0.497,0.481,0.045,0.07,0.001,0.035,0.01,0.0632,Female,0.016
CN,Other Psychiatric,38839,111,0.497,0.423,0.041,0.376,0.003,0.189,0.054,0.0603,Female,0.074
CN,SAD,38839,150,0.497,0.444,0.07139,0.309,-0.011,0.149,0.043,0.0977,Female,0.053
CN,SCZ,38839,315,0.497,0.228,0.0002,0.687,0.465,0.576,0.165,0.0004,Female,0.269
AD,ADHD,529,329,0.152,0.518,0.0002,-0.734,-1.022,-0.878,-0.236,0.0004,Female,-0.365
AD,Anxiety/Phobia,529,1039,0.152,0.484,0.0002,-0.765,-0.983,-0.874,-0.242,0.0004,Female,-0.332
AD,ASD,529,381,0.152,0.513,0.0002,-0.799,-1.077,-0.938,-0.267,0.0004,Female,-0.361
AD,Attention & Learning difficulty,529,99,0.152,0.197,0.11959,0.043,-0.387,-0.172,-0.044,0.1504,Female,-0.045
AD,EMCI,529,139,0.152,0.621,0.0002,-1.07,-1.468,-1.269,-0.332,0.0004,Female,-0.469
AD,LMCI,529,216,0.152,0.313,0.0002,-0.291,-0.612,-0.452,-0.119,0.0004,Female,-0.161
AD,MCI,529,253,0.152,0.302,0.0002,-0.324,-0.628,-0.476,-0.129,0.0004,Female,-0.15
AD,MDD,529,3461,0.152,0.481,0.0002,-0.757,-0.944,-0.85,-0.241,0.0004,Female,-0.328
AD,Other Psychiatric,529,111,0.152,0.423,0.0002,-0.551,-0.97,-0.76,-0.197,0.0004,Female,-0.271
AD,SAD,529,150,0.152,0.444,0.0002,-0.621,-0.995,-0.808,-0.208,0.0004,Female,-0.292
AD,SCZ,529,315,0.152,0.228,0.0002,-0.176,-0.457,-0.316,-0.086,0.0004,Female,-0.076
ADHD,Anxiety/Phobia,329,1039,0.518,0.484,0.71413,0.103,-0.145,-0.021,-0.006,0.746,Female,0.034
ADHD,ASD,329,381,0.518,0.513,0.16598,0.046,-0.25,-0.102,-0.031,0.2001,Female,0.005
ADHD,Attention & Learning difficulty,329,99,0.518,0.197,0.0002,0.905,0.445,0.675,0.192,0.0004,Female,0.32
ADHD,EMCI,329,139,0.518,0.621,0.002,-0.135,-0.535,-0.335,-0.096,0.0035,Female,-0.103
ADHD,LMCI,329,216,0.518,0.313,0.0002,0.58,0.233,0.406,0.117,0.0004,Female,0.205
ADHD,MCI,329,253,0.518,0.302,0.0002,0.529,0.198,0.364,0.107,0.0004,Female,0.215
ADHD,MDD,329,3461,0.518,0.481,0.75572,0.097,-0.129,-0.016,-0.005,0.7655,Female,0.037
ADHD,Other Psychiatric,329,111,0.518,0.423,0.20858,0.354,-0.078,0.138,0.039,0.2393,Female,0.094
ADHD,SAD,329,150,0.518,0.444,0.31137,0.293,-0.095,0.099,0.028,0.3421,Female,0.074
ADHD,SCZ,329,315,0.518,0.228,0.0002,0.669,0.355,0.512,0.15,0.0004,Female,0.29
Anxiety/Phobia,ASD,1039,381,0.484,0.513,0.15498,0.033,-0.202,-0.085,-0.025,0.1919,Female,-0.029
Anxiety/Phobia,Attention & Learning difficulty,1039,99,0.484,0.197,0.0002,0.901,0.484,0.692,0.198,0.0004,Female,0.287
Anxiety/Phobia,EMCI,1039,139,0.484,0.621,0.0006,-0.136,-0.491,-0.314,-0.09,0.0011,Female,-0.137
Anxiety/Phobia,LMCI,1039,216,0.484,0.313,0.0002,0.575,0.28,0.428,0.123,0.0004,Female,0.171
Anxiety/Phobia,MCI,1039,253,0.484,0.302,0.0002,0.528,0.251,0.39,0.113,0.0004,Female,0.182
Anxiety/Phobia,MDD,1039,3461,0.484,0.481,0.88991,0.074,-0.064,0.005,0.001,0.8899,Female,0.004
Anxiety/Phobia,Other Psychiatric,1039,111,0.484,0.423,0.11319,0.355,-0.037,0.159,0.045,0.1471,Female,0.061
Anxiety/Phobia,SAD,1039,150,0.484,0.444,0.16678,0.291,-0.052,0.119,0.034,0.2001,Female,0.04
Anxiety/Phobia,SCZ,1039,315,0.484,0.228,0.0002,0.666,0.411,0.539,0.156,0.0004,Female,0.256
ASD,Attention & Learning difficulty,381,99,0.513,0.197,0.0002,0.944,0.491,0.717,0.223,0.0004,Female,0.315
ASD,EMCI,381,139,0.513,0.621,0.0334,-0.013,-0.403,-0.208,-0.065,0.0511,Female,-0.108
ASD,LMCI,381,216,0.513,0.313,0.0002,0.649,0.31,0.48,0.148,0.0004,Female,0.2
ASD,MCI,381,253,0.513,0.302,0.0002,0.602,0.28,0.441,0.138,0.0004,Female,0.21
ASD,MDD,381,3461,0.513,0.481,0.09239,0.197,-0.014,0.091,0.027,0.1232,Female,0.032
ASD,Other Psychiatric,381,111,0.513,0.423,0.0388,0.44,0.015,0.227,0.07,0.0582,Female,0.089
ASD,SAD,381,150,0.513,0.444,0.0442,0.383,0.003,0.193,0.059,0.0632,Female,0.069
ASD,SCZ,381,315,0.513,0.228,0.0002,0.736,0.431,0.584,0.181,0.0004,Female,0.285
Attention & Learning difficulty,EMCI,99,139,0.197,0.621,0.0002,-0.765,-1.316,-1.04,-0.288,0.0004,Female,-0.423
Attention & Learning difficulty,LMCI,99,216,0.197,0.313,0.0256,-0.029,-0.509,-0.269,-0.075,0.0399,Female,-0.116
Attention & Learning difficulty,MCI,99,253,0.197,0.302,0.0144,-0.056,-0.524,-0.29,-0.085,0.0234,Female,-0.105
Attention & Learning difficulty,MDD,99,3461,0.197,0.481,0.0002,-0.485,-0.886,-0.685,-0.196,0.0004,Female,-0.283
Attention & Learning difficulty,Other Psychiatric,99,111,0.197,0.423,0.0006,-0.287,-0.843,-0.565,-0.152,0.0011,Female,-0.226
Attention & Learning difficulty,SAD,99,150,0.197,0.444,0.0002,-0.357,-0.878,-0.618,-0.164,0.0004,Female,-0.247
Attention & Learning difficulty,SCZ,99,315,0.197,0.228,0.21538,0.083,-0.37,-0.143,-0.042,0.2435,Female,-0.031
EMCI,LMCI,139,216,0.621,0.313,0.0002,0.971,0.529,0.75,0.213,0.0004,Female,0.308
