Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,MCI,885,197,0.36,0.354,0.93551,0.149,-0.16,-0.005,-0.001,0.9355,Male,0.007
ADHD,MDD,885,1789,0.36,0.526,0.0002,-0.353,-0.516,-0.434,-0.122,0.0003,Male,-0.165
ADHD,SCZ,885,718,0.36,0.338,0.17538,0.167,-0.03,0.069,0.019,0.2037,Male,0.022
Anxiety/Phobia,ASD,589,1628,0.524,0.468,0.0042,0.232,0.043,0.137,0.041,0.0058,Male,0.056
Anxiety/Phobia,LMCI,589,341,0.524,0.314,0.0002,0.668,0.397,0.532,0.154,0.0003,Male,0.21
Anxiety/Phobia,MCI,589,197,0.524,0.354,0.0002,0.583,0.257,0.42,0.124,0.0003,Male,0.17
Anxiety/Phobia,MDD,589,1789,0.524,0.526,0.77652,0.106,-0.08,0.013,0.004,0.7987,Male,-0.002
Anxiety/Phobia,SCZ,589,718,0.524,0.338,0.0002,0.608,0.387,0.498,0.144,0.0003,Male,0.186
ASD,LMCI,1628,341,0.468,0.314,0.0002,0.499,0.265,0.382,0.113,0.0003,Male,0.153
ASD,MCI,1628,197,0.468,0.354,0.0004,0.426,0.129,0.277,0.083,0.0006,Male,0.114
ASD,MDD,1628,1789,0.468,0.526,0.0004,-0.06,-0.195,-0.127,-0.037,0.0006,Male,-0.058
ASD,SCZ,1628,718,0.468,0.338,0.0002,0.439,0.262,0.35,0.104,0.0003,Male,0.13
LMCI,MCI,341,197,0.314,0.354,0.23058,0.071,-0.281,-0.105,-0.03,0.2594,Male,-0.039
LMCI,MDD,341,1789,0.314,0.526,0.0002,-0.41,-0.644,-0.527,-0.151,0.0003,Male,-0.211
LMCI,SCZ,341,718,0.314,0.338,0.59094,0.095,-0.163,-0.034,-0.01,0.6257,Male,-0.024
MCI,MDD,197,1789,0.354,0.526,0.0002,-0.271,-0.566,-0.419,-0.12,0.0003,Male,-0.172
MCI,SCZ,197,718,0.354,0.338,0.38416,0.229,-0.087,0.071,0.02,0.4191,Male,0.016
MDD,SCZ,1789,718,0.526,0.338,0.0002,0.579,0.404,0.492,0.141,0.0003,Male,0.188
