Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ABNORMAL VENTRICAL,SAD,73,150,0.46,0.47,0.88511,0.302,-0.261,0.02,0.006,1,Female,-0.01
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,53,0.46,0.311,0.0032,0.886,0.16,0.523,0.142,0.0266,Female,0.149
ABNORMAL VENTRICAL,Schizoaffective Disorder - Relative,73,48,0.46,0.366,0.23098,0.592,-0.146,0.223,0.065,0.537,Female,0.094
ABNORMAL VENTRICAL,SCZ,73,315,0.46,0.366,0.0238,0.555,0.042,0.298,0.086,0.1165,Female,0.094
ABNORMAL VENTRICAL,SCZ-Relative,73,138,0.46,0.391,0.18038,0.484,-0.088,0.198,0.057,0.476,Female,0.069
ABNORMAL VENTRICAL,SMC,73,59,0.46,0.467,0.53135,0.453,-0.24,0.106,0.027,0.9271,Female,-0.007
ABNORMAL VENTRICAL,SPECIFIC PHOBIA,73,159,0.46,0.416,0.75072,0.326,-0.231,0.048,0.014,1,Female,0.044
ABNORMAL VENTRICAL,Subacute Pain,73,28,0.46,0.43,0.81112,0.495,-0.387,0.054,0.015,1,Female,0.03
AD,ADHD,529,329,0.379,0.507,0.0044,-0.066,-0.342,-0.204,-0.064,0.0335,Female,-0.128
AD,Anorexia/Bulima,529,105,0.379,0.493,0.11879,0.043,-0.377,-0.167,-0.053,0.3682,Female,-0.114
AD,Anxiety/Phobia,529,1039,0.379,0.479,0.0012,-0.071,-0.281,-0.176,-0.052,0.0133,Female,-0.1
AD,ASD,529,381,0.379,0.506,0.0046,-0.058,-0.322,-0.19,-0.06,0.0339,Female,-0.127
AD,Attention & Learning difficulty,529,99,0.379,0.205,0.0006,0.587,0.155,0.371,0.118,0.0087,Female,0.174
AD,BD,529,111,0.379,0.497,0.06579,0.009,-0.402,-0.197,-0.062,0.2424,Female,-0.118
AD,BIPOLAR/PSYCH-RELATIVE,529,47,0.379,0.515,0.18598,0.101,-0.498,-0.199,-0.063,0.4831,Female,-0.136
AD,Chronic Pain,529,63,0.379,0.48,0.15558,0.067,-0.457,-0.195,-0.062,0.4411,Female,-0.102
AD,DEMENTIA - LBD,529,21,0.379,0.479,0.49555,0.283,-0.592,-0.154,-0.05,0.9037,Female,-0.1
AD,EMCI,529,139,0.379,0.408,0.78912,0.163,-0.211,-0.024,-0.008,1,Female,-0.03
AD,LMCI,529,216,0.379,0.477,0.07759,0.015,-0.302,-0.144,-0.045,0.2783,Female,-0.098
AD,MCI,529,253,0.379,0.466,0.0354,-0.007,-0.308,-0.157,-0.051,0.1562,Female,-0.087
AD,MCI-Risk,529,0,0.379,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
AD,MDD,529,3461,0.379,0.492,0.0002,-0.115,-0.298,-0.206,-0.06,0.004,Female,-0.113
AD,ND,529,100,0.379,0.306,0.05779,0.416,-0.013,0.201,0.064,0.2221,Female,0.073
AD,OCD,529,74,0.379,0.495,0.08499,0.027,-0.461,-0.217,-0.068,0.2871,Female,-0.117
AD,Other,529,117,0.379,0.519,0.0394,-0.011,-0.413,-0.212,-0.067,0.1659,Female,-0.14
AD,OTHER,529,56,0.379,0.276,0.17438,0.469,-0.083,0.193,0.063,0.4687,Female,0.103
AD,Other Psychiatric,529,111,0.379,0.394,0.92351,0.196,-0.214,-0.009,-0.003,1,Female,-0.015
AD,PD,529,67,0.379,0.56,0.026,-0.036,-0.546,-0.291,-0.091,0.1246,Female,-0.182
