Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
LMCI,SAD,341,155,0.732,0.582,0.0004,0.551,0.168,0.36,0.1,0.0012,Male,0.15
LMCI,Schizoaffective Disorder,341,56,0.732,0.662,0.10359,0.516,-0.052,0.232,0.065,0.1855,Male,0.07
LMCI,SCZ,341,709,0.732,0.601,0.0002,0.455,0.195,0.325,0.094,0.0007,Male,0.131
LMCI,SCZ-Relative,341,66,0.732,0.528,0.0004,0.792,0.259,0.526,0.147,0.0012,Male,0.204
LMCI,SMC,341,44,0.732,0.462,0.0004,0.96,0.324,0.642,0.178,0.0012,Male,0.271
LMCI,SPECIFIC PHOBIA,341,55,0.732,0.459,0.0002,0.983,0.404,0.694,0.191,0.0007,Male,0.273
MCI,MCI-Risk,197,0,0.74,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI,MDD,197,1746,0.74,0.576,0.0002,0.552,0.257,0.405,0.113,0.0007,Male,0.164
MCI,ND,197,74,0.74,0.824,0.07419,0.03,-0.509,-0.239,-0.066,0.1385,Male,-0.084
MCI,OCD,197,84,0.74,0.613,0.0028,0.651,0.133,0.392,0.112,0.0074,Male,0.127
MCI,Other,197,39,0.74,0.511,0.0006,1,0.3,0.65,0.185,0.0018,Male,0.229
MCI,OTHER,197,43,0.74,0.818,0.05,0.011,-0.654,-0.321,-0.088,0.0991,Male,-0.078
MCI,Other Psychiatric,197,142,0.74,0.41,0.0002,0.869,0.425,0.647,0.19,0.0007,Male,0.329
MCI,PD,197,136,0.74,0.608,0.0026,0.571,0.129,0.35,0.099,0.007,Male,0.131
MCI,SAD,197,155,0.74,0.582,0.0012,0.567,0.141,0.354,0.1,0.0034,Male,0.157
MCI,Schizoaffective Disorder,197,56,0.74,0.662,0.14119,0.525,-0.073,0.226,0.064,0.2338,Male,0.078
MCI,SCZ,197,709,0.74,0.601,0.0002,0.479,0.162,0.32,0.093,0.0007,Male,0.138
MCI,SCZ-Relative,197,66,0.74,0.528,0.001,0.799,0.232,0.516,0.146,0.0029,Male,0.211
MCI,SMC,197,44,0.74,0.462,0.0004,0.965,0.298,0.632,0.178,0.0012,Male,0.278
MCI,SPECIFIC PHOBIA,197,55,0.74,0.459,0.0002,0.992,0.379,0.685,0.191,0.0007,Male,0.281
