Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
OTHER,Schizoaffective Disorder,43,56,0.401,0.351,0.58354,0.512,-0.293,0.109,0.033,0.7614,Male,0.051
OTHER,SCZ,43,718,0.401,0.387,0.53875,0.405,-0.212,0.096,0.027,0.7303,Male,0.014
OTHER,SCZ-Relative,43,66,0.401,0.405,0.51795,0.261,-0.517,-0.128,-0.041,0.7259,Male,-0.004
OTHER,SMC,43,44,0.401,0.508,0.15778,0.123,-0.735,-0.306,-0.093,0.3232,Male,-0.107
OTHER,SPECIFIC PHOBIA,43,55,0.401,0.445,0.31117,0.196,-0.614,-0.209,-0.065,0.5126,Male,-0.043
Other Psychiatric,PD,142,136,0.313,0.599,0.0002,-0.465,-0.952,-0.709,-0.196,0.0014,Male,-0.286
Other Psychiatric,SAD,142,155,0.313,0.489,0.0108,-0.071,-0.531,-0.301,-0.089,0.0354,Male,-0.175
Other Psychiatric,Schizoaffective Disorder,142,56,0.313,0.351,0.84312,0.282,-0.34,-0.029,-0.008,0.9642,Male,-0.037
Other Psychiatric,SCZ,142,718,0.313,0.387,0.57794,0.13,-0.23,-0.05,-0.014,0.7598,Male,-0.074
Other Psychiatric,SCZ-Relative,142,66,0.313,0.405,0.06499,0.019,-0.571,-0.276,-0.082,0.1541,Male,-0.092
Other Psychiatric,SMC,142,44,0.313,0.508,0.0092,-0.122,-0.81,-0.466,-0.134,0.031,Male,-0.195
Other Psychiatric,SPECIFIC PHOBIA,142,55,0.313,0.445,0.0246,-0.048,-0.678,-0.363,-0.106,0.0726,Male,-0.131
PD,SAD,136,155,0.599,0.489,0.001,0.613,0.146,0.38,0.107,0.0057,Male,0.111
PD,Schizoaffective Disorder,136,56,0.599,0.351,0.0002,1.028,0.385,0.706,0.187,0.0014,Male,0.249
PD,SCZ,136,718,0.599,0.387,0.0002,0.842,0.469,0.656,0.182,0.0014,Male,0.212
PD,SCZ-Relative,136,66,0.599,0.405,0.0072,0.708,0.111,0.41,0.114,0.0258,Male,0.194
PD,SMC,136,44,0.599,0.508,0.18638,0.575,-0.111,0.232,0.061,0.3555,Male,0.091
PD,SPECIFIC PHOBIA,136,55,0.599,0.445,0.0448,0.647,0.013,0.33,0.089,0.1139,Male,0.155
SAD,Schizoaffective Disorder,155,56,0.489,0.351,0.08039,0.583,-0.034,0.274,0.081,0.183,Male,0.138
SAD,SCZ,155,718,0.489,0.387,0.0034,0.438,0.09,0.264,0.075,0.0151,Male,0.101
SAD,SCZ-Relative,155,66,0.489,0.405,0.88291,0.312,-0.267,0.023,0.007,0.999,Male,0.084
SAD,SMC,155,44,0.489,0.508,0.37336,0.183,-0.491,-0.154,-0.046,0.5799,Male,-0.02
SAD,SPECIFIC PHOBIA,155,55,0.489,0.445,0.70673,0.251,-0.368,-0.058,-0.017,0.8583,Male,0.044
Schizoaffective Disorder,SCZ,56,718,0.351,0.387,0.88171,0.252,-0.293,-0.021,-0.006,0.999,Male,-0.037
Schizoaffective Disorder,SCZ-Relative,56,66,0.351,0.405,0.17898,0.113,-0.609,-0.248,-0.074,0.3452,Male,-0.055
Schizoaffective Disorder,SMC,56,44,0.351,0.508,0.0276,-0.046,-0.856,-0.451,-0.126,0.0781,Male,-0.158
Schizoaffective Disorder,SPECIFIC PHOBIA,56,55,0.351,0.445,0.08079,0.039,-0.719,-0.34,-0.098,0.183,Male,-0.094
SCZ,SCZ-Relative,718,66,0.387,0.405,0.06239,0.012,-0.493,-0.24,-0.068,0.15,Male,-0.018
SCZ,SMC,718,44,0.387,0.508,0.005,-0.124,-0.735,-0.43,-0.12,0.0193,Male,-0.121
SCZ,SPECIFIC PHOBIA,718,55,0.387,0.445,0.0226,-0.053,-0.603,-0.328,-0.092,0.069,Male,-0.057
SCZ-Relative,SMC,66,44,0.405,0.508,0.36016,0.211,-0.562,-0.175,-0.052,0.5644,Male,-0.103
SCZ-Relative,SPECIFIC PHOBIA,66,55,0.405,0.445,0.65173,0.282,-0.441,-0.08,-0.024,0.8083,Male,-0.039
SMC,SPECIFIC PHOBIA,44,55,0.508,0.445,0.61914,0.499,-0.305,0.097,0.028,0.7874,Male,0.064
