Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,Anxiety/Phobia,639,565,0.459,0.47,0.45115,0.069,-0.158,-0.045,-0.013,0.5586,Male,-0.011
ADHD,ASD,639,1607,0.459,0.531,0.0012,-0.06,-0.244,-0.152,-0.046,0.0023,Male,-0.072
ADHD,Attention & Learning difficulty,639,227,0.459,0.432,0.60594,0.192,-0.112,0.04,0.012,0.7054,Male,0.027
ADHD,EMCI,639,170,0.459,0.512,0.08219,0.023,-0.316,-0.146,-0.043,0.1282,Male,-0.054
ADHD,LMCI,639,341,0.459,0.173,0.0002,0.869,0.598,0.734,0.212,0.0004,Male,0.286
ADHD,MCI,639,188,0.459,0.27,0.0002,0.649,0.32,0.484,0.143,0.0004,Male,0.189
ADHD,MDD,639,1635,0.459,0.492,0.15658,0.027,-0.156,-0.065,-0.019,0.2349,Male,-0.033
ADHD,Other Psychiatric,639,142,0.459,0.482,0.59334,0.129,-0.235,-0.053,-0.016,0.7012,Male,-0.023
ADHD,SAD,639,155,0.459,0.477,0.67873,0.137,-0.214,-0.039,-0.012,0.7673,Male,-0.018
ADHD,SCZ,639,212,0.459,0.238,0.0002,0.64,0.326,0.483,0.143,0.0004,Male,0.221
Anxiety/Phobia,ASD,565,1607,0.47,0.531,0.0234,-0.014,-0.206,-0.11,-0.033,0.0406,Male,-0.061
Anxiety/Phobia,Attention & Learning difficulty,565,227,0.47,0.432,0.27377,0.24,-0.069,0.086,0.025,0.3813,Male,0.038
Anxiety/Phobia,EMCI,565,170,0.47,0.512,0.22978,0.066,-0.277,-0.105,-0.03,0.3319,Male,-0.042
Anxiety/Phobia,LMCI,565,341,0.47,0.173,0.0002,0.944,0.665,0.805,0.225,0.0004,Male,0.297
Anxiety/Phobia,MCI,565,188,0.47,0.27,0.0002,0.715,0.38,0.547,0.156,0.0004,Male,0.2
Anxiety/Phobia,MDD,565,1635,0.47,0.492,0.69773,0.076,-0.116,-0.02,-0.006,0.7775,Male,-0.022
Anxiety/Phobia,Other Psychiatric,565,142,0.47,0.482,0.91591,0.174,-0.194,-0.01,-0.003,0.94,Male,-0.012
Anxiety/Phobia,SAD,565,155,0.47,0.477,0.9529,0.184,-0.173,0.006,0.002,0.9653,Male,-0.007
Anxiety/Phobia,SCZ,565,212,0.47,0.238,0.0002,0.706,0.385,0.545,0.156,0.0004,Male,0.232
ASD,Attention & Learning difficulty,1607,227,0.531,0.432,0.0076,0.33,0.051,0.191,0.058,0.0138,Male,0.099
ASD,EMCI,1607,170,0.531,0.512,0.90251,0.168,-0.148,0.01,0.003,0.94,Male,0.018
ASD,LMCI,1607,341,0.531,0.173,0.0002,0.984,0.744,0.864,0.258,0.0004,Male,0.358
ASD,MCI,1607,188,0.531,0.27,0.0002,0.778,0.473,0.626,0.189,0.0004,Male,0.261
ASD,MDD,1607,1635,0.531,0.492,0.0078,0.16,0.023,0.092,0.027,0.0138,Male,0.039
ASD,Other Psychiatric,1607,142,0.531,0.482,0.25297,0.271,-0.073,0.099,0.03,0.3588,Male,0.049
ASD,SAD,1607,155,0.531,0.477,0.17258,0.279,-0.051,0.114,0.035,0.254,Male,0.054
ASD,SCZ,1607,212,0.531,0.238,0.0002,0.771,0.481,0.626,0.189,0.0004,Male,0.293
Attention & Learning difficulty,EMCI,227,170,0.432,0.512,0.06419,0.016,-0.384,-0.184,-0.055,0.1043,Male,-0.081
Attention & Learning difficulty,LMCI,227,341,0.432,0.173,0.0002,0.868,0.522,0.695,0.2,0.0004,Male,0.259
Attention & Learning difficulty,MCI,227,188,0.432,0.27,0.0002,0.632,0.239,0.435,0.131,0.0004,Male,0.162
Attention & Learning difficulty,MDD,227,1635,0.432,0.492,0.13659,0.033,-0.245,-0.106,-0.031,0.2089,Male,-0.06
Attention & Learning difficulty,Other Psychiatric,227,142,0.432,0.482,0.40016,0.12,-0.301,-0.091,-0.028,0.5202,Male,-0.05
Attention & Learning difficulty,SAD,227,155,0.432,0.477,0.46715,0.128,-0.282,-0.077,-0.024,0.5693,Male,-0.045
Attention & Learning difficulty,SCZ,227,212,0.432,0.238,0.0002,0.623,0.244,0.433,0.131,0.0004,Male,0.194
EMCI,LMCI,170,341,0.512,0.173,0.0002,1.129,0.743,0.936,0.255,0.0004,Male,0.339
EMCI,MCI,170,188,0.512,0.27,0.0002,0.873,0.446,0.66,0.186,0.0004,Male,0.242
EMCI,MDD,170,1635,0.512,0.492,0.30757,0.242,-0.074,0.084,0.024,0.4209,Male,0.02
EMCI,Other Psychiatric,170,142,0.512,0.482,0.42936,0.317,-0.131,0.093,0.027,0.5429,Male,0.03
EMCI,SAD,170,155,0.512,0.477,0.32937,0.328,-0.109,0.11,0.032,0.4429,Male,0.036
EMCI,SCZ,170,212,0.512,0.238,0.0002,0.86,0.445,0.652,0.187,0.0004,Male,0.274
LMCI,MCI,341,188,0.173,0.27,0.0072,-0.072,-0.43,-0.251,-0.069,0.0134,Male,-0.097
LMCI,MDD,341,1635,0.173,0.492,0.0002,-0.687,-0.926,-0.806,-0.231,0.0004,Male,-0.319
LMCI,Other Psychiatric,341,142,0.173,0.482,0.0002,-0.615,-1.02,-0.817,-0.228,0.0004,Male,-0.309
LMCI,SAD,341,155,0.173,0.477,0.0002,-0.61,-1.004,-0.807,-0.223,0.0004,Male,-0.304
LMCI,SCZ,341,212,0.173,0.238,0.006,-0.075,-0.42,-0.247,-0.068,0.0114,Male,-0.065
MCI,MDD,188,1635,0.27,0.492,0.0002,-0.409,-0.713,-0.561,-0.162,0.0004,Male,-0.222
MCI,Other Psychiatric,188,142,0.27,0.482,0.0002,-0.322,-0.767,-0.545,-0.159,0.0004,Male,-0.212
MCI,SAD,188,155,0.27,0.477,0.0002,-0.318,-0.752,-0.535,-0.155,0.0004,Male,-0.207
MCI,SCZ,188,212,0.27,0.238,0.9855,0.198,-0.196,0.001,0,0.9855,Male,0.032
MDD,Other Psychiatric,1635,142,0.492,0.482,0.90451,0.182,-0.161,0.01,0.003,0.94,Male,0.01
MDD,SAD,1635,155,0.492,0.477,0.74873,0.19,-0.139,0.026,0.007,0.8225,Male,0.015
MDD,SCZ,1635,212,0.492,0.238,0.0002,0.705,0.416,0.56,0.162,0.0004,Male,0.254
Other Psychiatric,SAD,142,155,0.482,0.477,0.89411,0.243,-0.214,0.015,0.004,0.94,Male,0.005
Other Psychiatric,SCZ,142,212,0.482,0.238,0.0002,0.757,0.323,0.54,0.159,0.0004,Male,0.244
SAD,SCZ,155,212,0.477,0.238,0.0002,0.741,0.319,0.53,0.155,0.0004,Male,0.239
